Serial	Description	Category
n10254761	"lepidopterist, lepidopterologist, butterfly collector"	n10059904
n10255096	"lessor, lease giver"	n10388924
n10255207	letter	n10388924
n10258304	"licensed practical nurse, LPN, practical nurse"	n10366966
n10259016	lieder singer	n10599806
n10260322	lieutenant governor	n10048836
n10261388	"lighterman, bargeman, bargee"	n10294602
n10265281	lion-hunter	n10618685
n10267166	"litterer, litterbug, litter lout"	n10612210
n10267311	little brother	n09876454
n10267865	little sister	n10602985
n10270383	Lolita	n10247358
n10271216	"lookout, lookout man, sentinel, sentry, watch, spotter, scout, picket"	n10770059
n10274815	"lowerclassman, underclassman"	n10736602
n10276045	"lumberman, lumberjack, logger, feller, faller"	n10241300
n10279317	Mackem	n09701148
n10279867	madrigalist	n10599806
n10280364	mafioso	n09977660
n10280495	mafioso	n09717566
n10287082	mammy	n10345100
n10289462	manageress	n10014939
n10290919	manicurist	n09845999
n10293590	"marchioness, marquise"	n10242791
n10293861	margrave	n10271677
n10294020	margrave	n10316683
n10295479	"marquis, marquess"	n10271677
n10296444	"martinet, disciplinarian, moralist"	n09824135
n10297367	masochist	n10419047
n10298202	masseur	n10297983
n10298271	masseuse	n10297983
n10302446	"math teacher, mathematics teacher"	n10694258
n10302905	matriculate	n09936892
n10305635	"medical officer, medic"	n10305802
n10309785	mercer	n10720453
n10310647	mesne lord	n10271677
n10312773	Wesleyan	n10312600
n10314627	midinette	n10548419
n10314703	midshipman	n09886540
n10314836	"midwife, accoucheuse"	n10366966
n10315382	Milady	n10242791
n10316527	"military chaplain, padre, Holy Joe, sky pilot"	n09908508
n10317963	mill agent	n09777353
n10318686	millwright	n10793570
n10318802	milord	n10271677
n10319163	"mimic, mimicker"	n10200365
n10319313	minder	n10063461
n10319796	"miner, mineworker"	n10241300
n10320695	"minister, diplomatic minister"	n10013927
n10320863	"minister, government minister"	n10069645
n10321126	ministrant	n09983572
n10322648	"misogynist, woman hater"	n10321882
n10322957	missionary	n10694258
n10326776	modifier	n10326087
n10327475	"moll, gun moll, gangster's moll"	n09977660
n10330189	"moocher, mooch, cadger, scrounger"	n09847010
n10332110	moss-trooper	n10293172
n10332861	mother	n09754217
n10333838	"motorcycle cop, motorcycle policeman, speed cop"	n10448983
n10336537	"muckraker, mudslinger"	n10009671
n10338094	"muleteer, mule skinner, mule driver, skinner"	n10241300
n10338707	"murderer, liquidator, manslayer"	n09977660
n10339350	"muscleman, muscle"	n09879297
n10341343	music teacher	n10694258
n10344656	name dropper	n10201535
n10347298	naval attache	n10316360
n10347593	naval officer	n10317007
n10348365	navigator	n09780676
n10348526	"Navy SEAL, SEAL"	n09861395
n10350220	"Nazi, German Nazi"	n10079893
n10353016	"neonate, newborn, newborn infant, newborn baby"	n09827683
n10356213	"newsagent, newsdealer, newsvendor, newsstand operator"	n10592152
n10356592	newspaper columnist	n09939154
n10356877	"newsreader, news reader"	n10356344
n10357207	next friend	n09777353
n10358032	night porter	n10026553
n10358322	night watchman	n10770059
n10359546	"Nobelist, Nobel Laureate"	n10249011
n10360747	"noncommissioned officer, noncom, enlisted officer"	n10317007
n10362557	Northern Baptist	n09838701
n10363017	no-show	n10151133
n10368113	"nuncio, papal nuncio"	n10013927
n10368291	"nursling, nurseling, suckling"	n09827683
n10368798	"nymphomaniac, nympho"	n10419047
n10370603	odalisque	n09952393
n10371741	"officer, ship's officer"	n10294602
n10373525	"Federal, Fed, federal official"	n10373801
n10374849	oil tycoon	n09840217
n10374943	old-age pensioner	n10414612
n10378213	operagoer	n10407726
n10378290	"opera star, operatic star"	n10599806
n10381100	orchestrator	n09809925
n10381214	ordainer	n09928136
n10381698	orderer	n09885145
n10383505	"organizer, organiser, labor organizer"	n10738515
n10384054	Orleanist	n10327824
n10385923	Ostrogoth	n10139774
n10386874	outfielder	n10086383
n10386984	outfielder	n10086568
n10387324	"right-handed pitcher, right-hander"	n10435988
n10387712	outfitter	n10120816
n10388647	overnighter	n10151133
n10394141	"palatine, palsgrave"	n10271677
n10394673	"paleographer, paleographist"	n09804806
n10395209	"palmist, palmister, chiromancer"	n10105462
n10395828	Panchen Lama	n10243664
n10396106	"panelist, panellist"	n09979321
n10396337	panhandler	n09847010
n10397142	paperhanger	n10105085
n10397275	paper-pusher	n09880427
n10397392	"papoose, pappoose"	n09827683
n10399130	pardoner	n09928136
n10399491	parent	n10126708
n10400205	park commissioner	n09943811
n10400618	parliamentary agent	n09777353
n10400826	"parlormaid, parlourmaid"	n10282672
n10403490	partygoer	n09608002
n10404242	"passer, forward passer"	n09834378
n10405320	pastry cook	n09963574
n10407552	patroller	n10770059
n10408324	patron	n10388924
n10411551	"peddler, pedlar, packman, hawker, pitchman"	n10577284
n10411867	"pederast, paederast, child molester"	n10419047
n10412669	"pedophile, paedophile"	n10419047
n10412910	peer	n10271677
n10416909	"perjurer, false witness"	n10256537
n10417843	persona grata	n10013927
n10417969	persona non grata	n10013927
n10419630	"pest, blighter, cuss, pesterer, gadfly"	n10716005
n10421753	"pharmacologist, pharmaceutical chemist"	n10421470
n10427467	"phrenologist, craniologist"	n10334782
n10433452	pilot	n10294602
n10434054	pinchgut	n10357737
n10434321	"pinko, pink"	n10619176
n10434947	pipe major	n10435041
n10436334	pitchman	n10548537
n10436851	"place-kicker, placekicker"	n10230580
n10437014	"placeman, placeseeker"	n09800964
n10439087	"platelayer, tracklayer"	n10241300
n10441962	plenipotentiary	n10013927
n10442923	"plowwright, ploughwright"	n10793570
n10443830	pluralist	n09928136
n10447359	poet laureate	n10249011
n10448834	police commissioner	n09943811
n10449412	"police matron, policewoman"	n10448983
n10451590	"pollster, poll taker, headcounter, canvasser"	n10207831
n10453061	pooler	n10401639
n10454972	pork butcher	n09884391
n10455447	porter	n10241300
n10455821	"portwatcher, port watcher"	n10770059
n10455915	"poseur, poser"	n10070711
n10458519	proprietress	n10388924
n10459687	postmistress	n10459575
n10460720	pothunter	n09804806
n10463582	pragmatist	n10509161
n10464542	"preceptor, don"	n10694258
n10467179	president	n10164747
n10467395	"President of the United States, United States President, President, Chief Executive"	n10164747
n10468750	"president, prexy"	n09758885
n10477585	"probationer, parolee"	n09977660
n10477713	"probationer, student nurse"	n10366966
n10479135	procurator	n09880427
n10480730	"professor, prof"	n09759069
n10483799	prophetess	n10483530
n10486468	provost	n09758885
n10486561	provost marshal	n10317500
n10486909	"proxy, placeholder, procurator"	n09777353
n10487363	psalmist	n09947232
n10491575	"publisher, newspaper publisher"	n10388924
n10493199	punter	n10230580
n10493922	purchasing agent	n09777353
n10495555	"pusher, drug peddler, peddler, drug dealer, drug trafficker"	n09977660
n10498816	"quarterback, signal caller, field general"	n09830194
n10499232	Quebecois	n09696585
n10499631	Queen of England	n10499355
n10500419	queen consort	n10499857
n10500506	queen dowager	n10499857
n10500717	queen regent	n10499857
n10502762	racetrack tout	n10712835
n10503247	racketeer	n09977660
n10505085	railbird	n10639925
n10505206	"rail-splitter, splitter"	n10241300
n10505459	rainmaker	n10069645
n10506336	ramrod	n10388732
n10507482	rapper	n10599806
n10507565	rapporteur	n10516874
n10509063	reading teacher	n10694258
n10510078	Realtor	n10509810
n10511425	"recidivist, repeater, habitual criminal"	n09977660
n10511649	recitalist	n10623650
n10512859	recruiting-sergeant	n10512562
n10513509	redcap	n10317500
n10516294	"regent, trustee"	n09944160
n10516527	"registered nurse, RN"	n10366966
n10517032	registrar	n09758885
n10517405	"regular, habitue, fixture"	n10407726
n10518194	"reliever, relief pitcher, fireman"	n10435988
n10519984	remover	n10336234
n10520804	renter	n10388924
n10524711	respondent	n09933411
n10524869	"restaurateur, restauranter"	n10388924
n10525436	"retailer, retail merchant"	n10018861
n10526927	"reviewer, referee, reader"	n09979321
n10527147	revisionist	n09945319
n10530383	riding master	n10694258
n10531445	ringer	n10201535
n10532751	ritualist	n10618465
n10536416	rock star	n10535881
n10537018	rollerblader	n10537107
n10538398	room clerk	n10007995
n10538853	roper	n09995573
n10539015	"ropewalker, ropedancer"	n09764598
n10540114	Mountie	n10448983
n10540984	"rover, scouter"	n09871681
n10543161	running back	n09830194
n10544067	rusher	n09834378
n10545792	sadist	n10419047
n10545940	sadomasochist	n10419047
n10548976	saloon keeper	n10388924
n10549165	salter	n10467052
n10550551	"sannyasi, sannyasin, sanyasi"	n09847010
n10552393	Sassenach	n09701148
n10552980	"satyr, lecher, lech, letch"	n10419047
n10554141	sawyer	n10241300
n10560247	school superintendent	n10388732
n10560352	"schoolteacher, school teacher"	n10694258
n10560548	science teacher	n10694258
n10561736	scofflaw	n09977660
n10562968	"scout, talent scout"	n10512708
n10564541	screwballer	n10435988
n10565197	scrub nurse	n10366966
n10567172	sea lawyer	n10294602
n10567613	Sea Scout	n09871681
n10569411	"secret agent, intelligence officer, intelligence agent, operative"	n09777353
n10574311	section hand	n10241300
n10574425	section man	n10694258
n10575705	"seedsman, seedman"	n10720453
n10576676	selectman	n10048836
n10576818	selectwoman	n10048836
n10577710	selling agent	n10577284
n10579062	senior	n10736602
n10581890	"serjeant-at-law, serjeant, sergeant-at-law, sergeant"	n09840963
n10584501	sewing-machine operator	n10584318
n10585217	"sexton, sacristan"	n09895701
n10589402	shill	n09995573
n10589666	ship-breaker	n09960688
n10590042	ship chandler	n10018861
n10590452	shipping agent	n09777353
n10590764	"shipwright, shipbuilder, ship builder"	n10793570
n10591347	shoofly	n10448983
n10591811	shopaholic	n10592397
n10591949	shop boy	n10548227
n10592595	shopper	n09777353
n10592811	"shop steward, steward"	n10738515
n10595012	"Siamese twin, conjoined twin"	n10197182
n10595361	sibyl	n10483530
n10595551	sibyl	n10105462
n10599068	Simeon	n10406391
n10601725	sire	n10271677
n10602695	Beguine	n10602258
n10603242	"half sister, half-sister, stepsister"	n10602985
n10607478	skinhead	n09879297
n10609198	"slattern, slut, slovenly woman, trollop"	n10612210
n10609871	slave driver	n10692269
n10612518	"slopseller, slop-seller"	n10720453
n10613839	smarta	n09872557
n10615179	"smoothie, smoothy, sweet talker, charmer"	n10195593
n10615334	"smuggler, runner, contrabandist, moon curser, moon-curser"	n09977660
n10621514	"sodomite, sodomist, sod, bugger"	n10419047
n10622053	soldier	n10058777
n10623806	"sommelier, wine waiter, wine steward"	n10763383
n10624074	"son, boy"	n10285938
n10624310	songster	n10599806
n10624540	"songwriter, songster, ballad maker"	n09947232
n10625546	soprano	n10599806
n10626439	medicine man	n10626194
n10628097	Southern Baptist	n09838701
n10628368	"Rebel, Reb, Johnny Reb, Johnny, greyback"	n09953775
n10628644	"sovereign, crowned head, monarch"	n10164747
n10631765	special agent	n09777353
n10634849	"speedskater, speed skater"	n10196490
n10634990	spellbinder	n10380672
n10635625	"big spender, high roller"	n10635460
n10637360	splicer	n10790192
n10639817	sports editor	n10356450
n10640446	"spot-welder, spot welder"	n10773665
n10641112	sprayer	n10241300
n10644469	stacker	n10241300
n10645223	stage director	n10015215
n10647359	stamp dealer	n10720453
n10649197	starlet	n09767700
n10649962	"state's attorney, state attorney"	n10484858
n10650076	state senator	n10578471
n10653793	steeplejack	n10241300
n10654321	"stepbrother, half-brother, half brother"	n09876454
n10654596	stepdaughter	n10654461
n10655075	stepson	n10654461
n10655169	"stevedore, loader, longshoreman, docker, dockhand, dock worker, dockworker, dock-walloper, lumper"	n10241300
n10655875	"stewardess, air hostess, hostess"	n10655594
n10657835	stock trader	n10720453
n10659042	"stoker, fireman"	n10241300
n10660128	store detective	n10476671
n10660333	"storyteller, fibber, fabricator"	n10256537
n10661732	"straw boss, assistant foreman"	n10104209
n10663137	"street arab, gamin, throwaway"	n10662952
n10663858	striker	n09861395
n10666259	"student teacher, practice teacher"	n09936892
n10667863	subcontractor	n09960688
n10669357	submariner	n09861395
n10675721	"superintendent, super"	n09895701
n10676214	"supermarketer, supermarketeer"	n10378780
n10678841	suprematist	n09758424
n10679610	Surgeon General	n10069645
n10684311	switch-hitter	n09843956
n10685853	"symbolist, symbolizer, symboliser"	n10212501
n10686517	symphonist	n09947232
n10686598	symposiast	n09608002
n10686694	syncopator	n10220486
n10687826	"tablemate, dining companion"	n10013242
n10688070	tackle	n10263411
n10689306	tailback	n09830194
n10689564	"tailor, seamster, sartor"	n10120816
n10690002	talent agent	n09777353
n10690849	"tantalizer, tantaliser"	n10716005
n10691764	"tapster, tapper"	n10490421
n10691937	"Tartuffe, Tartufe"	n10195593
n10692405	taskmistress	n10692269
n10692482	"taster, taste tester, taste-tester, sampler"	n09979321
n10692883	"tax assessor, assessor"	n09880427
n10693052	"tax collector, taxman, exciseman, collector of internal revenue, internal revenue agent"	n09880427
n10693235	taxer	n09880427
n10694939	teaching fellow	n10694258
n10698550	"television star, TV star"	n10648696
n10701783	tenor	n10599806
n10701962	"tenor saxophonist, tenorist"	n10554243
n10703905	"testifier, deponent, deposer"	n10786033
n10704098	test pilot	n10433164
n10704238	test-tube baby	n09827683
n10705100	thane	n10271677
n10705211	thatcher	n10538272
n10707804	"thief, stealer"	n09977660
n10709131	third party	n09803429
n10709876	thrush	n10599806
n10710259	"ticket collector, ticket taker"	n10026553
n10711253	timberman	n10388924
n10711641	timeserver	n10379376
n10712474	tinter	n10155849
n10713923	tobacconist	n10592152
n10715881	torch singer	n10599806
n10717921	"tough guy, plug-ugly"	n09879297
n10721321	traffic cop	n10448983
n10721470	dealer	n10577284
n10721819	tragedienne	n09767700
n10722965	"traitor, treasonist"	n09977660
n10726786	"traveling salesman, travelling salesman, commercial traveler, commercial traveller, roadman, bagman"	n10548537
n10730542	trooper	n10448983
n10730728	"trooper, state trooper"	n10448983
n10731560	"troubleshooter, trouble shooter"	n10521100
n10732212	trustbuster	n10373801
n10732644	tub-thumper	n10380672
n10732748	tucker	n10584318
n10733574	turner	n10732967
n10734891	Tyke	n09701148
n10736926	underseller	n10577284
n10738968	"universal agent, general agent"	n09777353
n10739135	universal donor	n09860813
n10741821	"usher, guide"	n10063461
n10742736	utilitarian	n10330931
n10745894	valuer	n09802050
n10746460	varnisher	n09619605
n10747424	vegan	n10747119
n10748309	verger	n09895701
n10748889	vestryman	n09922799
n10749004	vestrywoman	n09922799
n10751265	"vice president, V.P."	n10069645
n10754449	"violator, lawbreaker, law offender"	n09977660
n10755164	virago	n10594147
n10756148	viscount	n10271677
n10756261	Visigoth	n10139774
n10756937	visiting nurse	n10366966
n10758713	voice	n10599806
n10762693	"wagonwright, waggonwright, wainwright"	n10793570
n10763620	waitress	n10763383
n10764465	walking delegate	n10738515
n10766409	war baby	n09827683
n10766492	warbler	n10599806
n10766626	war bride	n09874618
n10766718	war correspondent	n09966710
n10767432	wardress	n10767265
n10768391	warrant officer	n10317007
n10768505	warrener	n10119351
n10773527	"welcher, welsher"	n09955015
n10774870	"wet nurse, wet-nurse, wetnurse, amah"	n10345100
n10775128	whaler	n10294602
n10775660	"wheelwright, wheeler"	n10793570
n10775771	whiffer	n09843956
n10777147	"whirling dervish, whirler"	n10006337
n10777894	"whited sepulcher, whited sepulchre"	n10195593
n10778044	whiteface	n09930876
n10778888	Austin Friar	n10778711
n10781547	wildcatter	n10374652
n10782248	wingback	n09830194
n10782632	wingman	n10433164
n10784675	witch-hunter	n10716005
n10786755	wittol	n09982152
n10789963	"woodcarver, carver"	n10790192
n10790077	woodcutter	n10241300
n10790596	wool stapler	n10018861
n10792856	wrecker	n10241300
n10801697	xylophonist	n10415037
n10802842	yardman	n10241300
n10803463	yenta	n10594147
n10803586	yeoman	n10110287
n10803838	yodeller	n10599806
n10805113	zany	n09930876
n11100798	"Kennan, George F. Kennan, George Frost Kennan"	n10013927
n11356018	ultramontane	n09680504
n06340977	Hakham	n10546202
n09493374	Charon	n10085449
n09493983	Circe	n10626540
n09537660	"messiah, christ"	n10553805
n09608002	"attendant, attender, attendee, meeter"	n10401829
n09608377	auctioneer	n09777012
n09610173	cofounder	n10107303
n09611884	constituent	n10760340
n09615336	discussant	n10401829
n09617292	excavator	n10791221
n09617508	ex-mayor	n10303814
n09619605	finisher	n10393909
n09624899	mediatrix	n09624559
n09625676	nativist	n10423589
n09637435	soul brother	n09637211
n09637837	boy	n09637211
n09643545	yellow man	n09643078
n09643670	yellow woman	n09643078
n09643799	"gook, slant-eye"	n09643078
n09644008	"Evenki, Ewenki"	n09643078
n09644152	"Mongol, Mongolian"	n09643078
n09645871	"Abnaki, Abenaki"	n09646608
n09645996	Achomawi	n09656673
n09646112	Akwa'ala	n09656673
n09646220	Alabama	n09662038
n09646432	"Algonkian, Algonkin"	n09646608
n09647680	"Atakapa, Attacapan"	n09649554
n09648911	Aztec	n09648743
n09649249	Toltec	n09648743
n09649926	Apache	n09647834
n09650250	"Arapaho, Arapahoe"	n09646608
n09650609	Atsugewi	n09656673
n09650839	Blackfoot	n09646608
n09651123	Caddo	n09649554
n09651418	Cakchiquel	n09648309
n09651653	Cayuga	n09657887
n09651790	Cherokee	n09657887
n09651968	Cheyenne	n09646608
n09652278	Chimakum	n09667358
n09652398	Chimariko	n09656673
n09652535	Chinook	n09665545
n09652746	Chipewyan	n09647834
n09652900	Choctaw	n09662038
n09653014	Cochimi	n09656673
n09653144	"Cocopa, Cocopah"	n09656673
n09653438	Comanche	n09668729
n09653616	Conoy	n09646608
n09653805	Costanoan	n09665545
n09653971	Cree	n09646608
n09654518	Delaware	n09646608
n09654898	Diegueno	n09656673
n09655018	Erie	n09657887
n09655213	Esselen	n09656673
n09655569	Fox	n09646608
n09655891	Halchidhoma	n09656673
n09656077	Havasupai	n09656673
n09656378	Hitchiti	n09662038
n09656547	Hopi	n09666622
n09657489	Hupa	n09647834
n09657615	Illinois	n09646608
n09658254	"Kalapooia, Kalapuya, Calapooya, Calapuya"	n09665545
n09658398	Kamia	n09656673
n09658670	Karok	n09656673
n09658815	Kekchi	n09648309
n09659039	Kickapoo	n09646608
n09659188	"Kiliwa, Kiliwi"	n09656673
n09659327	Kiowa	n09649554
n09659447	Koasati	n09662038
n09659605	Kusan	n09665545
n09659711	Kwakiutl	n09671453
n09659866	Maidu	n09665545
n09660010	Malecite	n09646608
n09660138	Mam	n09648309
n09660240	Maricopa	n09656673
n09660373	"Massachuset, Massachusetts"	n09646608
n09660524	Mattole	n09647834
n09660645	"Menomini, Menominee"	n09646608
n09661107	Miami	n09646608
n09661258	"Micmac, Mikmaq"	n09646608
n09661397	Miwok	n09665545
n09661543	"Mohave, Mojave"	n09656673
n09661731	Mohawk	n09657887
n09661873	"Mohican, Mahican"	n09646608
n09662325	Muskogee	n09662038
n09662530	Nanticoke	n09646608
n09662661	"Navaho, Navajo"	n09647834
n09662951	Nootka	n09671453
n09663472	"Ojibwa, Ojibway, Chippewa"	n09646608
n09663999	Oneida	n09657887
n09664121	Onondaga	n09657887
n09664450	Ottawa	n09646608
n09664556	"Paiute, Piute"	n09668729
n09664766	Pamlico	n09646608
n09664908	Passamaquody	n09646608
n09665075	Patwin	n09665545
n09665367	Penobscot	n09646608
n09665897	Pima	n09649554
n09666039	Pomo	n09656673
n09666349	Potawatomi	n09646608
n09666476	Powhatan	n09646608
n09667097	Quiche	n09648309
n09667715	"Sauk, Sac"	n09646608
n09667927	Seminole	n09662038
n09668058	Seneca	n09657887
n09668199	"Shahaptian, Sahaptin, Sahaptino"	n09665545
n09668437	Shasta	n09656673
n09668562	Shawnee	n09646608
n09669125	"Sioux, Siouan"	n09649554
n09669942	Skagit	n09667358
n09670051	Takelma	n09665545
n09670170	Taos	n09666622
n09670415	Cahita	n09670280
n09670521	Tarahumara	n09670280
n09670772	Tsimshian	n09665545
n09670909	Tuscarora	n09657887
n09671334	Ute	n09668729
n09671641	Wampanoag	n09646608
n09671808	"Walapai, Hualapai, Hualpai"	n09656673
n09672314	Wintun	n09665545
n09672455	Yahi	n09656673
n09672590	Yana	n09656673
n09672725	Yavapai	n09656673
n09672840	Yokuts	n09665545
n09672963	"Yucatec, Yucateco"	n09648309
n09673091	Yuma	n09656673
n09673232	Zuni	n09666622
n09673779	Assamese	n09673495
n09673916	Dravidian	n09673495
n09675922	"Gujarati, Gujerati"	n09673495
n09676021	Kashmiri	n09673495
n09676127	Oriya	n09673495
n09676247	"Punjabi, Panjabi"	n09673495
n09676374	"Maratha, Mahratta"	n09673495
n09677427	Anabaptist	n09679316
n09678581	Christian Scientist	n09679316
n09680235	Anglican Catholic	n09679925
n09680387	Greek Catholic	n09679925
n09680504	Roman Catholic	n09679925
n09681107	"Uniat, Uniate, Uniate Christian"	n09679925
n09687940	memsahib	n09687775
n09688233	Gael	n09688008
n09688366	Briton	n09688008
n09688487	Gaul	n09688008
n09689000	"Salian Frank, Salian"	n09688804
n09689631	Kafir	n09689435
n09689739	"Pathan, Pashtun, Pushtun, Pashtoon"	n09689435
n09690864	Anguillan	n10774440
n09691024	Antiguan	n10774440
n09691149	Argentinian	n09731571
n09691729	Bahamian	n10774440
n09691858	"Bahraini, Bahreini"	n09729530
n09693982	Barbadian	n10774440
n09694392	"Bermudan, Bermudian"	n09725229
n09694664	Bolivian	n09731571
n09694771	Bornean	n09721883
n09694894	Brazilian	n09731571
n09696585	Canadian	n09725229
n09697246	Cebuan	n10755648
n09697401	Central American	n09725229
n09697986	Chilean	n09731571
n09698337	"chink, Chinaman"	n09698108
n09698517	Colombian	n09731571
n09698901	Cuban	n10774440
n09700017	Zealander	n09699642
n09700371	"Ecuadorian, Ecuadoran"	n09731571
n09700823	"Salvadoran, Salvadorian, Salvadorean"	n09731571
n09701148	English person	n09700964
n09703101	West Saxon	n09702836
n09705909	Fijian	n09727826
n09706132	Fleming	n09694109
n09707061	Livonian	n09707166
n09708648	"frog, Gaul"	n09708405
n09708750	Parisian	n09708405
n09709001	Breton	n09708405
n09709155	Savoyard	n09708405
n09709229	"Angevin, Angevine"	n09708405
n09709441	Castillian	n09731906
n09709916	Minoan	n09709795
n09710619	"Achaean, Achaian"	n09710164
n09710753	"Aeolian, Eolian"	n09710164
n09710886	Dorian	n09710164
n09711009	Ionian	n09710164
n09711132	Athenian	n09710164
n09711320	Corinthian	n09710164
n09711435	Laconian	n09710164
n09711530	Lesbian	n09710164
n09711661	Spartan	n09710164
n09711754	Arcadian	n09710164
n09711870	Theban	n09710164
n09712324	Guyanese	n09731571
n09712448	Haitian	n10774440
n09713260	Norman	n09708405
n09713357	"Palestinian, Palestinian Arab"	n09729530
n09715165	Irishman	n09714952
n09715303	Irishwoman	n09714952
n09715427	Dubliner	n09714952
n09715974	sabra	n09715833
n09716439	"wop, dago, ginzo, Guinea, greaseball"	n09716047
n09716643	Etruscan	n09716047
n09716837	Neopolitan	n09716047
n09716933	Roman	n09716047
n09717233	Sabine	n09716047
n09717454	Venetian	n09716047
n09717566	Sicilian	n09716047
n09717696	Tuscan	n09716047
n09717789	Oscan	n09716047
n09717917	Samnite	n09716047
n09718092	Jamaican	n10774440
n09718518	Ryukyuan	n09718217
n09718652	"Jap, Nip"	n09718217
n09719105	North Korean	n09718936
n09719207	South Korean	n09718936
n09720406	"spic, spik, spick"	n09720256
n09722064	Sabahan	n09721883
n09723228	Montserratian	n10774440
n09724234	Gurkha	n09724066
n09725653	Omani	n09729530
n09725935	Brahui	n09725772
n09726037	Sindhi	n09725772
n09726246	Paraguayan	n09731571
n09726499	Peruvian	n09731571
n09727191	"Inca, Inka, Incan"	n09726970
n09727747	polack	n09727627
n09728137	"Qatari, Katari"	n09729530
n09729271	Samoan	n09727826
n09729387	"Saudi, Saudi Arabian"	n09729530
n09730077	Sarawakian	n09721883
n09730383	Viking	n09730204
n09730732	"Scotswoman, Scotchwoman"	n09730533
n09733580	Damascene	n09733459
n09733707	Khmer	n09696280
n09733793	Tahitian	n09727826
n09734885	Turk	n09735258
n09735542	Azerbaijani	n09735258
n09735654	Chuvash	n09735258
n09735913	Karakalpak	n09735258
n09736035	"Kazak, Kazakh"	n09735258
n09736312	"Kirghiz, Kirgiz, Khirghiz"	n09735258
n09736485	"Turkoman, Turkmen, Turcoman"	n09735258
n09736633	"Uighur, Uigur, Uygur"	n09735258
n09736798	"Uzbek, Uzbeg, Uzbak, Usbek, Usbeg"	n09735258
n09737161	Yakut	n09735258
n09737297	Tungusic	n09690208
n09741074	"Alaska Native, Alaskan Native, Native Alaskan"	n09740954
n09742690	Native Hawaiian	n09742569
n09746936	Uruguayan	n09731571
n09747062	Venezuelan	n09731571
n09747969	Teuton	n09747722
n09748101	East German	n09747722
n09748239	"Kraut, Krauthead, Boche, Jerry, Hun"	n09747722
n09748408	Berliner	n09747722
n09748648	Prussian	n09747722
n09749142	Glaswegian	n09730533
n09749260	Grenadian	n10774440
n09750157	Sumatran	n09714264
n09750282	Papuan	n09714264
n09750410	Tongan	n09727826
n09750641	Walloon	n09694109
n09750770	Yemeni	n09729530
n09754217	"abbess, mother superior, prioress"	n10675876
n09754404	"abbot, archimandrite"	n10675876
n09754633	abnegator	n10025730
n09756400	abiogenist	n09848489
n09757449	"abseiler, rappeller"	n10006748
n09758424	"abstractionist, abstract artist"	n10391653
n09758781	abutter	n10245639
n09758885	academic administrator	n09770949
n09759069	"academician, academic, faculty member"	n10045713
n09759501	academician	n10183757
n09759684	acceptor	n10032342
n09760609	companion	n09821831
n09760913	"accompanist, accompanyist"	n10340312
n09761310	accordionist	n10340312
n09762011	accused	n09762101
n09764598	aerialist	n09764381
n09767700	actress	n09765278
n09769076	"addict, nut, freak, junkie, junky"	n10059582
n09772930	"adulteress, fornicatress, hussy, jade, loose woman, slut, strumpet, trollop"	n09772746
n09775663	"advocate, counsel, counselor, counsellor, counselor-at-law, pleader"	n10249950
n09777353	agent	n10522035
n09780676	aircrewman	n09977178
n09780828	"air force officer, commander"	n10582746
n09782397	alderman	n10522035
n09782855	alexic	n10405694
n09784564	alliterator	n10630188
n09785580	almsgiver	n10025730
n09786922	amalgamator	n09882007
n09787955	ambulance chaser	n10249950
n09788073	ambusher	n09821253
n09788237	"amicus curiae, friend of the court"	n09774266
n09788761	amora	n10502329
n09789898	analogist	n10510339
n09790047	"analphabet, analphabetic"	n10199103
n09790188	analysand	n10405694
n09791151	oil-industry analyst	n09791014
n09792969	"anchor, anchorman, anchorperson"	n10698368
n09793717	"angel, backer"	n10407954
n09793946	"angler, troller"	n10093658
n09794426	animal fancier	n10078131
n09794550	animator	n10696251
n09794797	annalist	n10177150
n09796062	anthologist	n10044879
n09799461	apostle	n09848489
n09800056	apparatchik	n10372373
n09800631	"apple polisher, bootlicker, fawner, groveller, groveler, truckler"	n10684827
n09800964	appointee	n10372373
n09802050	"appraiser, valuator"	n10066732
n09803429	"arbiter, arbitrator, umpire"	n10066732
n09803800	"arbitrageur, arbitrager, arb"	n09882007
n09804343	archdeacon	n09927451
n09804518	archduchess	n10474064
n09804658	archduke	n10472799
n09804806	"archeologist, archaeologist"	n09796323
n09807379	Areopagite	n10307234
n09807495	Argive	n09710164
n09809134	arms manufacturer	n10292316
n09809427	army brat	n09918248
n09809925	"arranger, adapter, transcriber"	n10339966
n09810633	arrowsmith	n10614812
n09810867	art critic	n09979589
n09811281	art editor	n10044879
n09811414	art historian	n10177150
n09811568	arthritic	n10405694
n09811852	"artilleryman, cannoneer, gunner, machine gunner"	n10582746
n09813219	"artist's model, sitter"	n10324560
n09814381	assemblyman	n10522035
n09814488	assemblywoman	n10522035
n09817174	associate	n10669991
n09817816	"astrologer, astrologist"	n10102506
n09819291	astrophysicist	n09818343
n09819667	cosmologist	n09818343
n09822830	attorney general	n10249459
n09822955	auditor	n09761403
n09823832	au pair girl	n09823683
n09823927	auteur	n10088390
n09824135	"authoritarian, dictator"	n10379758
n09825296	autobiographer	n09855433
n09826074	"avenger, retaliator"	n09821253
n09826605	"aviatrix, airwoman, aviatress"	n09826204
n09826821	ayah	n10024119
n09827363	"baby, babe, sister"	n10129825
n09827683	"baby, babe, infant"	n09918248
n09828988	baby farmer	n10229498
n09829122	"babyminder, baby minder, minder"	n10229498
